Tester: Tracy_2
Test Date: 2016-03-30 15:55
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,雙面人,Negative,correct
2,1,愚蠢,Negative,correct
3,1,無能,Negative,correct
4,1,古怪的,Negative,correct
5,1,持續的,Neutral,pass
6,1,方向感,Neutral,pass
7,1,鮮明的,Neutral,pass
8,1,面目可憎,Negative,correct
9,1,輕率,Negative,correct
10,1,放蕩不羈,Negative,correct
11,1,草率,Negative,correct
12,1,不滿,Negative,correct
13,1,小氣,Negative,correct
14,1,恐懼的,Negative,correct
15,1,頻繁,Neutral,pass
16,1,沒水準的,Negative,correct
17,1,聲光,Neutral,pass
18,1,清脆,Neutral,pass
19,1,鮮艷的,Neutral,pass
20,1,溼冷潮溼,Neutral,pass
21,1,迷信的,Negative,correct
22,1,誇張的,Negative,correct
23,1,忙碌,Neutral,pass
24,1,反光的,Neutral,pass
25,1,迅速,Neutral,pass
26,1,輕浮,Negative,correct
27,1,上漲,Neutral,pass
28,1,靠不住,Negative,correct
29,1,畏首畏尾,Negative,correct
30,1,辱罵的,Negative,correct
31,1,不入流的,Negative,correct
32,1,逞兇鬥狠,Negative,correct
33,1,柔軟,Neutral,pass
34,1,不有趣的,Negative,correct
35,1,只想到自己,Negative,correct
36,1,熟悉,Neutral,pass
37,1,滑頭,Negative,correct
38,1,硬邦邦的,Neutral,pass
39,1,神經質,Negative,correct
40,1,禮數不周,Negative,correct
41,1,難相處的,Negative,correct
42,1,懦弱,Negative,correct
43,1,要死不活,Negative,correct
44,1,退休,Neutral,pass
45,1,自大的,Negative,correct
46,1,可預測的,Neutral,pass
47,1,向左,Neutral,pass
48,1,固體的,Neutral,pass
49,1,擾人,Negative,correct
50,1,風化的,Neutral,pass
51,1,不擇手段,Negative,correct
52,1,惡毒,Negative,correct
53,1,純粹的,Neutral,pass
54,1,薄情,Negative,correct
55,1,煙霧彌漫,Neutral,pass
56,1,很傳統,Negative,correct
57,1,使人不愉快的,Negative,correct
58,1,沒禮貌,Negative,correct
59,1,不道德,Negative,correct
60,1,憨厚,Negative,correct
61,1,改變,Neutral,pass
62,1,不和藹,Negative,correct
63,1,灼熱,Neutral,pass
64,1,守舊,Negative,correct
65,1,服從,Negative,correct
66,1,不易被鼓舞,Negative,correct
67,1,殘暴,Negative,correct
68,1,不爽快的,Negative,correct
69,1,沒知識的,Negative,correct
70,1,吵鬧,Negative,correct
71,1,自私,Negative,correct
72,1,奸詐,Negative,correct
73,1,不易妥協的,Negative,correct
74,1,不尊重人,Negative,correct
75,1,充滿水分的,Neutral,pass
76,2,愛做白日夢,Negative,correct
77,2,皮製的,Neutral,pass
78,2,不切實際,Negative,correct
79,2,自以為是,Negative,correct
80,2,主題,Neutral,pass
81,2,寂寞,Negative,correct
82,2,無法下決定的,Negative,correct
83,2,粗暴,Negative,correct
84,2,緊繃,Negative,correct
85,2,嘲諷的,Negative,correct
86,2,典型,Neutral,pass
87,2,連續的,Neutral,pass
88,2,生鏽的,Neutral,pass
89,2,陰鬱,Negative,miss
90,2,容易受外界影響,Negative,correct
91,2,笨拙,Negative,correct
92,2,嚴厲,Negative,correct
93,2,公開,Neutral,pass
94,2,隱私,Neutral,pass
95,2,堅固,Neutral,pass
96,2,多管閒事,Negative,correct
97,2,古早的,Neutral,pass
98,2,正式的,Neutral,pass
99,2,粗心,Negative,correct
100,2,驚喜,Neutral,pass
101,2,適應不良,Negative,correct
102,2,無助的,Negative,correct
103,2,節奏感,Neutral,pass
104,2,視覺上的,Neutral,pass
105,2,太過柔順,Negative,correct
106,2,宗教的,Neutral,pass
107,2,漫無目的,Negative,correct
108,2,愛抱怨,Negative,correct
109,2,庸庸碌碌,Negative,correct
110,2,孩子氣,Negative,correct
111,2,失神的,Negative,correct
112,2,奢侈,Negative,correct
113,2,沒有目標的,Negative,correct
114,2,自負,Negative,correct
115,2,愛責備的,Negative,correct
116,2,過度謹慎,Negative,correct
117,2,不講道理,Negative,correct
118,2,消沈,Negative,correct
119,2,佔有慾,Negative,correct
120,2,幼稚,Negative,correct
121,2,愛爭辯,Negative,correct
122,2,充滿的,Neutral,pass
123,2,平滑,Neutral,pass
124,2,指導,Neutral,pass
125,2,高科技,Neutral,pass
126,2,不容易滿足,Negative,correct
127,2,無法寬恕,Negative,correct
128,2,不安,Negative,correct
129,2,斤斤計較,Negative,correct
130,2,順從,Negative,correct
131,2,怕生,Negative,correct
132,2,容易受騙,Negative,correct
133,2,向右,Neutral,pass
134,2,乾燥,Neutral,pass
135,2,水平,Neutral,pass
136,2,疑心病,Negative,correct
137,2,呆,Negative,correct
138,2,實驗性,Neutral,pass
139,2,見不得人好,Negative,correct
140,2,現在的,Neutral,pass
141,2,健忘,Negative,correct
142,2,心情不穩定的,Negative,correct
143,2,廣大的,Neutral,pass
144,2,缺乏想像力,Negative,correct
145,2,急躁,Negative,correct
146,2,憤世忌俗,Negative,correct
147,2,有勇無謀,Negative,correct
148,2,魯莽,Negative,correct
149,2,遲鈍,Negative,correct
150,2,明亮,Neutral,pass
