Tester: 山本先生
Test Date: 2016-02-25 23:48
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,沒有目標的,Negative,correct
2,1,古早的,Neutral,pass
3,1,不懂人情世故,Negative,correct
4,1,煩人的,Negative,correct
5,1,服從,Negative,correct
6,1,無助的,Negative,correct
7,1,不爽快的,Negative,correct
8,1,沒知識的,Negative,correct
9,1,風化的,Neutral,pass
10,1,面目可憎,Negative,correct
11,1,累贅的,Negative,correct
12,1,乾燥,Neutral,pass
13,1,強硬,Negative,correct
14,1,可預測的,Neutral,pass
15,1,鮮艷的,Neutral,pass
16,1,誇張的,Negative,miss
17,1,廣大的,Neutral,pass
18,1,指導,Neutral,pass
19,1,善變的,Negative,miss
20,1,缺乏經驗,Negative,miss
21,1,魯莽,Negative,miss
22,1,頻繁,Neutral,pass
23,1,異常擔心的,Negative,miss
24,1,熟悉,Neutral,pass
25,1,公開,Neutral,pass
26,1,殘暴,Negative,miss
27,1,不樂於助人,Negative,miss
28,1,涼爽,Neutral,pass
29,1,主題,Neutral,pass
30,1,尖酸,Negative,miss
31,1,斤斤計較,Negative,miss
32,1,喧鬧的,Negative,miss
33,1,忙碌,Neutral,pass
34,1,疑心病,Negative,miss
35,1,愛抱怨,Negative,miss
36,1,急性子,Negative,miss
37,1,煙霧彌漫,Neutral,pass
38,1,卷曲的,Neutral,pass
39,1,觀察不入微,Negative,miss
40,1,跋扈,Negative,miss
41,1,狡詐,Negative,correct
42,1,小氣,Negative,correct
43,1,吹毛求疵,Negative,correct
44,1,多疑,Negative,miss
45,1,徒勞無功,Negative,miss
46,1,冥頑不靈,Negative,miss
47,1,不負責任,Negative,miss
48,1,遲鈍,Negative,miss
49,1,現在的,Neutral,pass
50,1,水平,Neutral,pass
51,1,不講道理,Negative,miss
52,1,改變,Neutral,pass
53,1,冒犯的,Negative,correct
54,1,方向感,Neutral,pass
55,1,過氣,Negative,miss
56,1,聲光,Neutral,pass
57,1,依賴,Negative,correct
58,1,冰冷,Negative,miss
59,1,無聊的,Negative,miss
60,1,沒文化的,Negative,miss
61,1,邋遢,Negative,miss
62,1,毛絨絨的,Neutral,pass
63,1,敗家,Negative,miss
64,1,過分講究,Negative,miss
65,1,容易退縮,Negative,correct
66,1,停留,Neutral,pass
67,1,高科技,Neutral,pass
68,1,粗暴,Negative,correct
69,1,自以為,Negative,correct
70,1,典型,Neutral,pass
71,1,絕情的,Negative,miss
72,1,要死不活,Negative,miss
73,1,忐忑,Negative,miss
74,1,固體的,Neutral,pass
75,1,膽大妄為,Negative,miss
76,2,草率,Negative,correct
77,2,漫無目的,Negative,correct
78,2,正式的,Neutral,pass
79,2,無法寬恕,Negative,correct
80,2,貪婪,Negative,miss
81,2,搖擺,Neutral,pass
82,2,緊繃,Negative,correct
83,2,枯燥乏味,Negative,correct
84,2,向右,Neutral,pass
85,2,不道德,Negative,miss
86,2,放不開,Negative,miss
87,2,俗氣,Negative,miss
88,2,灼熱,Neutral,pass
89,2,刻薄,Negative,miss
90,2,無禮,Negative,miss
91,2,迷信的,Negative,miss
92,2,愛羞辱人的,Negative,miss
93,2,不上不下的,Negative,miss
94,2,迅速,Neutral,pass
95,2,擾人,Negative,miss
96,2,心煩氣躁,Negative,miss
97,2,嫉妒的,Negative,miss
98,2,自私,Negative,miss
99,2,向左,Neutral,pass
100,2,皮製的,Neutral,pass
101,2,安靜的,Negative,miss
102,2,純粹的,Neutral,pass
103,2,不鎮靜的,Negative,miss
104,2,無理取鬧,Negative,miss
105,2,物理的,Neutral,pass
106,2,虛偽,Negative,miss
107,2,隱私,Neutral,pass
108,2,愛做白日夢,Negative,miss
109,2,充滿水分的,Neutral,pass
110,2,化學的,Neutral,pass
111,2,無能,Negative,miss
112,2,堅固,Neutral,pass
113,2,吝嗇,Negative,miss
114,2,不有趣的,Negative,miss
115,2,生鏽的,Neutral,pass
116,2,古怪的,Negative,miss
117,2,苛求,Negative,miss
118,2,嚴肅,Negative,miss
119,2,節奏感,Neutral,pass
120,2,平坦的,Neutral,pass
121,2,沒教養,Negative,miss
122,2,恍恍惚惚,Negative,miss
123,2,不平靜的,Negative,miss
124,2,明亮,Neutral,pass
125,2,緊張,Negative,miss
126,2,攻擊性的,Negative,miss
127,2,政治,Neutral,pass
128,2,倔強,Negative,miss
129,2,愛責備的,Negative,miss
130,2,衝動,Negative,miss
131,2,缺乏智慧,Negative,miss
132,2,清脆,Neutral,pass
133,2,持續的,Neutral,pass
134,2,太過敏感,Negative,miss
135,2,不好學,Negative,miss
136,2,退休,Neutral,pass
137,2,不近人情,Negative,miss
138,2,粗心,Negative,miss
139,2,害羞,Negative,miss
140,2,複雜,Neutral,pass
141,2,難相處的,Negative,miss
142,2,不進取,Negative,miss
143,2,平滑,Neutral,pass
144,2,壓抑,Negative,miss
145,2,愛模仿的,Negative,miss
146,2,逞兇鬥狠,Negative,miss
147,2,健忘,Negative,miss
148,2,前傾,Neutral,pass
149,2,驚喜,Neutral,pass
150,2,神經質,Negative,miss
