Tester: PCL
Test Date: 2016-04-11 10:39
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,毛絨絨的,Neutral,pass
2,1,誇張的,Negative,miss
3,1,攻擊性的,Negative,miss
4,1,改變,Neutral,pass
5,1,充滿的,Neutral,pass
6,1,令人不快的,Negative,correct
7,1,不誠實,Negative,miss
8,1,頻繁,Neutral,pass
9,1,禮數不周,Negative,miss
10,1,壓抑,Negative,correct
11,1,杞人憂天,Negative,correct
12,1,容易受外界影響,Negative,correct
13,1,水平,Neutral,pass
14,1,視覺上的,Neutral,pass
15,1,愛爭辯,Negative,miss
16,1,不講道理,Negative,correct
17,1,順從,Negative,correct
18,1,不整潔,Negative,miss
19,1,方向感,Neutral,pass
20,1,不社會化,Negative,miss
21,1,滑稽,Negative,correct
22,1,無情無義,Negative,miss
23,1,指導,Neutral,pass
24,1,自負,Negative,correct
25,1,沒安全感的,Negative,miss
26,1,鮮艷的,Neutral,pass
27,1,灼熱,Neutral,pass
28,1,正式的,Neutral,pass
29,1,奢侈,Negative,miss
30,1,不平靜的,Negative,miss
31,1,小氣,Negative,correct
32,1,搖擺,Neutral,pass
33,1,服從,Negative,correct
34,1,不入流的,Negative,miss
35,1,太過柔順,Negative,miss
36,1,無吸引力的,Negative,miss
37,1,不樂於助人,Negative,miss
38,1,前傾,Neutral,pass
39,1,憨厚,Negative,correct
40,1,無聊的,Negative,miss
41,1,不勤勞,Negative,correct
42,1,懦弱,Negative,miss
43,1,煩人的,Negative,miss
44,1,政治,Neutral,pass
45,1,清脆,Neutral,pass
46,1,巨大,Neutral,pass
47,1,忐忑,Negative,miss
48,1,急性子,Negative,correct
49,1,不和藹,Negative,correct
50,1,脆弱,Negative,miss
51,1,恐懼的,Negative,miss
52,1,失神的,Negative,correct
53,1,退休,Neutral,pass
54,1,過度自信,Negative,miss
55,1,沈悶,Negative,correct
56,1,徒勞無功,Negative,miss
57,1,呆,Negative,correct
58,1,遲鈍,Negative,miss
59,1,佔有慾,Negative,miss
60,1,反光的,Neutral,pass
61,1,愛模仿的,Negative,correct
62,1,缺乏智慧,Negative,miss
63,1,古早的,Neutral,pass
64,1,激進,Negative,miss
65,1,向右,Neutral,pass
66,1,上漲,Neutral,pass
67,1,沮喪,Negative,miss
68,1,情緒化,Negative,miss
69,1,平坦的,Neutral,pass
70,1,沒文化的,Negative,correct
71,1,向左,Neutral,pass
72,1,多嘴,Negative,miss
73,1,心機的,Negative,correct
74,1,迅速,Neutral,pass
75,1,現在的,Neutral,pass
76,2,不負責任,Negative,correct
77,2,柔軟,Neutral,pass
78,2,下流,Negative,miss
79,2,浪費,Negative,correct
80,2,尖酸,Negative,correct
81,2,涼爽,Neutral,pass
82,2,逞兇鬥狠,Negative,correct
83,2,硬邦邦的,Neutral,pass
84,2,驕傲,Negative,miss
85,2,不誠懇,Negative,correct
86,2,頑劣,Negative,miss
87,2,佔有慾強,Negative,miss
88,2,憤世忌俗,Negative,miss
89,2,典型,Neutral,pass
90,2,要死不活,Negative,miss
91,2,粗暴,Negative,correct
92,2,驚喜,Neutral,pass
93,2,跋扈,Negative,miss
94,2,生鏽的,Neutral,incorrect
95,2,愛吹牛,Negative,correct
96,2,不鎮靜的,Negative,correct
97,2,連續的,Neutral,pass
98,2,嚴厲,Negative,miss
99,2,叛逆,Negative,correct
100,2,反社會的,Negative,miss
101,2,皮製的,Neutral,pass
102,2,卷曲的,Neutral,pass
103,2,停留,Neutral,pass
104,2,明亮,Neutral,pass
105,2,廣大的,Neutral,pass
106,2,溼冷潮溼,Neutral,pass
107,2,鬱卒,Negative,miss
108,2,易怒的,Negative,correct
109,2,物理的,Neutral,pass
110,2,凌亂的,Negative,miss
111,2,騙子,Negative,correct
112,2,貪婪,Negative,correct
113,2,沒效率的,Negative,correct
114,2,混亂的,Negative,correct
115,2,不信任他人,Negative,miss
116,2,聲光,Neutral,pass
117,2,頑固,Negative,correct
118,2,狡詐,Negative,correct
119,2,薄情,Negative,miss
120,2,乾燥,Neutral,pass
121,2,自得自滿,Negative,miss
122,2,化學的,Neutral,pass
123,2,心胸狹小,Negative,miss
124,2,極端刻薄,Negative,correct
125,2,暴躁,Negative,correct
126,2,雙面人,Negative,correct
127,2,不擅交際,Negative,correct
128,2,心煩氣躁,Negative,correct
129,2,高科技,Neutral,pass
130,2,節奏感,Neutral,pass
131,2,忙碌,Neutral,pass
132,2,虛假,Negative,correct
133,2,金屬感,Neutral,pass
134,2,難相處的,Negative,correct
135,2,不事生產的,Negative,correct
136,2,令人憤怒的,Negative,miss
137,2,可預測的,Neutral,pass
138,2,不爽快的,Negative,correct
139,2,熟悉,Neutral,pass
140,2,悲觀,Negative,miss
141,2,斤斤計較,Negative,correct
142,2,不擇手段,Negative,miss
143,2,純粹的,Neutral,incorrect
144,2,不懂人情世故,Negative,correct
145,2,觀察不入微,Negative,correct
146,2,拙劣,Negative,miss
147,2,自我膨脹,Negative,correct
148,2,奸詐,Negative,correct
149,2,無禮,Negative,correct
150,2,固體的,Neutral,pass
