Tester: Dragon
Test Date: 2016-07-22 21:05
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,搖擺,Neutral,pass
2,1,潑辣,Negative,correct
3,1,沒安全感的,Negative,correct
4,1,隱私,Neutral,pass
5,1,疑心病,Negative,correct
6,1,向右,Neutral,pass
7,1,沒邏輯的,Negative,correct
8,1,平滑,Neutral,pass
9,1,膽大妄為,Negative,correct
10,1,生鏽的,Neutral,pass
11,1,小氣,Negative,correct
12,1,不光明正大,Negative,correct
13,1,無禮,Negative,correct
14,1,誇張的,Negative,correct
15,1,反光的,Neutral,pass
16,1,輕率,Negative,correct
17,1,充滿的,Neutral,pass
18,1,典型,Neutral,pass
19,1,適應不良,Negative,correct
20,1,清脆,Neutral,pass
21,1,不鎮靜的,Negative,correct
22,1,雙面人,Negative,correct
23,1,溫吞,Negative,miss
24,1,有系統的,Negative,correct
25,1,改變,Neutral,pass
26,1,墨守成規,Negative,correct
27,1,軟弱無力的,Negative,correct
28,1,無法下決定的,Negative,correct
29,1,徒勞無功,Negative,correct
30,1,不入流的,Negative,correct
31,1,風化的,Neutral,pass
32,1,守舊,Negative,correct
33,1,卷曲的,Neutral,pass
34,1,驕傲,Negative,correct
35,1,佔有慾強,Negative,correct
36,1,不勤勞,Negative,correct
37,1,難相處的,Negative,correct
38,1,頻繁,Neutral,pass
39,1,硬邦邦的,Neutral,pass
40,1,煩人的,Negative,correct
41,1,嚴厲,Negative,correct
42,1,健忘,Negative,correct
43,1,實驗性,Neutral,pass
44,1,自大的,Negative,correct
45,1,神經質,Negative,miss
46,1,控制一切,Negative,miss
47,1,現在的,Neutral,pass
48,1,卑鄙,Negative,correct
49,1,涼爽,Neutral,pass
50,1,忿恨不平,Negative,correct
51,1,自我膨脹,Negative,correct
52,1,恐懼的,Negative,correct
53,1,灼熱,Neutral,pass
54,1,倔強,Negative,correct
55,1,疑神疑鬼,Negative,correct
56,1,乾燥,Neutral,pass
57,1,騙子,Negative,correct
58,1,極端刻薄,Negative,miss
59,1,急性子,Negative,correct
60,1,鮮明的,Neutral,pass
61,1,不滿,Negative,correct
62,1,笨拙,Negative,correct
63,1,沒禮貌,Negative,correct
64,1,高度緊張的,Negative,correct
65,1,堅固,Neutral,pass
66,1,不切實際,Negative,miss
67,1,吵鬧,Negative,correct
68,1,俱有控制與的,Negative,correct
69,1,溼冷潮溼,Neutral,pass
70,1,敗家,Negative,correct
71,1,緊繃,Negative,miss
72,1,可預測的,Neutral,pass
73,1,圓形的,Neutral,pass
74,1,皮製的,Neutral,pass
75,1,自我中心,Negative,miss
76,2,忙碌,Neutral,pass
77,2,不規律的,Negative,miss
78,2,不熱情,Negative,correct
79,2,不道德,Negative,correct
80,2,正式的,Neutral,pass
81,2,不平靜的,Negative,correct
82,2,鬆懈的,Negative,correct
83,2,主題,Neutral,pass
84,2,疏忽的,Negative,correct
85,2,拙劣,Negative,correct
86,2,不擅交際,Negative,correct
87,2,柔軟,Neutral,pass
88,2,粗鄙,Negative,correct
89,2,膚淺,Negative,correct
90,2,放蕩不羈,Negative,correct
91,2,無趣的,Negative,miss
92,2,多嘴,Negative,correct
93,2,不懂人情世故,Negative,correct
94,2,無助的,Negative,correct
95,2,喜愛批評,Negative,correct
96,2,視覺上的,Neutral,pass
97,2,有勇無謀,Negative,correct
98,2,沒水準的,Negative,correct
99,2,不安,Negative,miss
100,2,自以為,Negative,correct
101,2,急躁,Negative,miss
102,2,傲慢,Negative,correct
103,2,毛絨絨的,Neutral,pass
104,2,向左,Neutral,pass
105,2,狡詐,Negative,correct
106,2,明亮,Neutral,pass
107,2,壓抑,Negative,correct
108,2,只想到自己,Negative,correct
109,2,公開,Neutral,pass
110,2,煙霧彌漫,Neutral,pass
111,2,固體的,Neutral,pass
112,2,憤世忌俗,Negative,miss
113,2,政治,Neutral,incorrect
114,2,新鮮的,Neutral,pass
115,2,平坦的,Neutral,pass
116,2,莽撞,Negative,correct
117,2,不易被鼓舞,Negative,correct
118,2,鬱鬱寡歡,Negative,correct
119,2,不整潔,Negative,correct
120,2,心胸狹小,Negative,correct
121,2,不誠實,Negative,correct
122,2,怠惰,Negative,correct
123,2,靠不住,Negative,correct
124,2,下流,Negative,correct
125,2,上漲,Neutral,pass
126,2,無聊的,Negative,correct
127,2,不健康,Negative,correct
128,2,高科技,Neutral,pass
129,2,消極,Negative,correct
130,2,自得自滿,Negative,correct
131,2,要死不活,Negative,correct
132,2,悲觀,Negative,miss
133,2,殘暴,Negative,correct
134,2,膽小,Negative,correct
135,2,水平,Neutral,pass
136,2,廣大的,Neutral,pass
137,2,情緒化,Negative,correct
138,2,消沈,Negative,correct
139,2,觀察不入微,Negative,correct
140,2,化學的,Neutral,pass
141,2,挑替,Negative,correct
142,2,驚喜,Neutral,pass
143,2,金屬感,Neutral,pass
144,2,宗教的,Neutral,pass
145,2,連續的,Neutral,pass
146,2,無吸引力的,Negative,correct
147,2,失神的,Negative,correct
148,2,退休,Neutral,pass
149,2,不負責任,Negative,miss
150,2,充滿水分的,Neutral,pass
