Tester: Ben
Test Date: 2016-05-06 11:47
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,風化的,Neutral,incorrect
2,1,惡毒,Negative,miss
3,1,鮮明的,Neutral,pass
4,1,易怒的,Negative,correct
5,1,神經質,Negative,correct
6,1,毛絨絨的,Neutral,pass
7,1,下流,Negative,correct
8,1,迅速,Neutral,pass
9,1,充滿水分的,Neutral,pass
10,1,新鮮的,Neutral,pass
11,1,熟悉,Neutral,pass
12,1,滑頭,Negative,correct
13,1,懦弱,Negative,correct
14,1,佔有慾,Negative,correct
15,1,不平靜的,Negative,correct
16,1,軟弱無力的,Negative,correct
17,1,令人討厭的,Negative,correct
18,1,太過柔順,Negative,correct
19,1,灼熱,Neutral,pass
20,1,愛爭辯,Negative,correct
21,1,廣大的,Neutral,pass
22,1,緊張,Negative,correct
23,1,極端刻薄,Negative,correct
24,1,喧鬧的,Negative,correct
25,1,愚蠢,Negative,correct
26,1,適應不良,Negative,correct
27,1,反光的,Neutral,pass
28,1,不誠懇,Negative,correct
29,1,凌亂的,Negative,correct
30,1,膽小,Negative,correct
31,1,高科技,Neutral,pass
32,1,沒邏輯的,Negative,correct
33,1,主題,Neutral,pass
34,1,忐忑,Negative,correct
35,1,不鎮靜的,Negative,correct
36,1,正式的,Neutral,pass
37,1,鬆懈的,Negative,correct
38,1,巨大,Neutral,pass
39,1,不好學,Negative,correct
40,1,害羞,Negative,miss
41,1,無理取鬧,Negative,miss
42,1,粗暴,Negative,correct
43,1,不友善,Negative,correct
44,1,煩人的,Negative,correct
45,1,不負責任,Negative,correct
46,1,滑稽,Negative,correct
47,1,雙面人,Negative,correct
48,1,脆弱,Negative,correct
49,1,暴躁,Negative,correct
50,1,沒水準的,Negative,correct
51,1,指導,Neutral,pass
52,1,宗教的,Neutral,pass
53,1,不進取,Negative,correct
54,1,擾人,Negative,correct
55,1,鮮艷的,Neutral,pass
56,1,沒知識的,Negative,correct
57,1,忘恩負義,Negative,correct
58,1,實驗性,Neutral,pass
59,1,涼爽,Neutral,pass
60,1,不易被鼓舞,Negative,correct
61,1,不懂人情世故,Negative,correct
62,1,水平,Neutral,pass
63,1,無禮,Negative,correct
64,1,停留,Neutral,pass
65,1,前傾,Neutral,pass
66,1,不擇手段,Negative,correct
67,1,靠不住,Negative,correct
68,1,複雜,Neutral,incorrect
69,1,古早的,Neutral,pass
70,1,平滑,Neutral,incorrect
71,1,不名譽的,Negative,correct
72,1,面目可憎,Negative,correct
73,1,多疑,Negative,correct
74,1,懶散的,Negative,correct
75,1,遲鈍,Negative,correct
76,2,憤世忌俗,Negative,correct
77,2,過度自信,Negative,correct
78,2,自我中心,Negative,correct
79,2,浪費,Negative,correct
80,2,守舊,Negative,correct
81,2,視覺上的,Neutral,pass
82,2,缺乏感情,Negative,correct
83,2,無趣的,Negative,correct
84,2,容易感到厭惡,Negative,correct
85,2,頑固,Negative,correct
86,2,平庸,Negative,correct
87,2,有勇無謀,Negative,correct
88,2,自私,Negative,correct
89,2,自以為是,Negative,correct
90,2,皮製的,Neutral,pass
91,2,典型,Neutral,pass
92,2,忙碌,Neutral,pass
93,2,急躁,Negative,correct
94,2,喜愛批評,Negative,correct
95,2,愛作秀,Negative,correct
96,2,上漲,Neutral,pass
97,2,吹毛求疵,Negative,correct
98,2,不社會化,Negative,correct
99,2,絕情的,Negative,correct
100,2,愛吹牛,Negative,correct
101,2,堅固,Neutral,pass
102,2,明亮,Neutral,pass
103,2,難相處的,Negative,miss
104,2,向右,Neutral,pass
105,2,消極,Negative,correct
106,2,頻繁,Neutral,pass
107,2,現在的,Neutral,pass
108,2,自我意識,Negative,correct
109,2,向左,Neutral,pass
110,2,節奏感,Neutral,pass
111,2,傲慢,Negative,correct
112,2,缺乏想像力,Negative,correct
113,2,愛做白日夢,Negative,correct
114,2,清脆,Neutral,pass
115,2,強硬,Negative,correct
116,2,持續的,Neutral,pass
117,2,衝動,Negative,correct
118,2,不有趣的,Negative,correct
119,2,化學的,Neutral,pass
120,2,苛求,Negative,correct
121,2,膽大妄為,Negative,correct
122,2,過分講究,Negative,miss
123,2,不尊重人,Negative,correct
124,2,漫無目的,Negative,correct
125,2,生鏽的,Neutral,pass
126,2,退休,Neutral,pass
127,2,孤單,Negative,correct
128,2,自大的,Negative,correct
129,2,尖酸,Negative,correct
130,2,無吸引力的,Negative,miss
131,2,不公平,Negative,correct
132,2,改變,Neutral,pass
133,2,鬱卒,Negative,correct
134,2,倔強,Negative,correct
135,2,偏心,Negative,miss
136,2,憂鬱的,Negative,correct
137,2,煙霧彌漫,Neutral,pass
138,2,枯燥乏味,Negative,correct
139,2,驚喜,Neutral,pass
140,2,不擅交際,Negative,correct
141,2,忿恨不平,Negative,correct
142,2,卷曲的,Neutral,pass
143,2,金屬感,Neutral,pass
144,2,平坦的,Neutral,pass
145,2,沮喪,Negative,correct
146,2,圓形的,Neutral,pass
147,2,安靜的,Negative,correct
148,2,聲光,Neutral,pass
149,2,無法寬恕,Negative,correct
150,2,令人不快的,Negative,correct
