Tester: 1050810c
Test Date: 2016-08-10 11:10
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,奸詐,Negative,miss
2,1,挑替,Negative,miss
3,1,佔有慾,Negative,miss
4,1,沒教養,Negative,miss
5,1,欺騙的,Negative,miss
6,1,複雜,Neutral,incorrect
7,1,俱有控制與的,Negative,miss
8,1,敗家,Negative,correct
9,1,不好學,Negative,correct
10,1,圓形的,Neutral,pass
11,1,不容易滿足,Negative,correct
12,1,混亂的,Negative,miss
13,1,斤斤計較,Negative,correct
14,1,愛爭辯,Negative,miss
15,1,莽撞,Negative,correct
16,1,愛做白日夢,Negative,correct
17,1,勢利眼,Negative,miss
18,1,反社會的,Negative,miss
19,1,持續的,Neutral,pass
20,1,高科技,Neutral,pass
21,1,政治,Neutral,incorrect
22,1,邋遢,Negative,miss
23,1,不準時的,Negative,correct
24,1,憤世忌俗,Negative,miss
25,1,前傾,Neutral,pass
26,1,懷有惡意的,Negative,miss
27,1,皮製的,Neutral,pass
28,1,充滿水分的,Neutral,pass
29,1,溼冷潮溼,Neutral,pass
30,1,面目可憎,Negative,miss
31,1,忘恩負義,Negative,miss
32,1,專橫,Negative,miss
33,1,巨大,Neutral,pass
34,1,上漲,Neutral,pass
35,1,膚淺,Negative,correct
36,1,尖酸,Negative,correct
37,1,虛假,Negative,correct
38,1,奢侈,Negative,miss
39,1,無吸引力的,Negative,miss
40,1,卷曲的,Neutral,pass
41,1,惡毒,Negative,miss
42,1,物理的,Neutral,pass
43,1,新鮮的,Neutral,pass
44,1,自大的,Negative,miss
45,1,忿恨不平,Negative,miss
46,1,退休,Neutral,pass
47,1,冰冷,Negative,correct
48,1,幼稚,Negative,correct
49,1,不整潔,Negative,miss
50,1,太過柔順,Negative,miss
51,1,毛絨絨的,Neutral,pass
52,1,自以為是,Negative,miss
53,1,冥頑不靈,Negative,miss
54,1,生鏽的,Neutral,pass
55,1,雙面人,Negative,miss
56,1,公開,Neutral,pass
57,1,沒文化的,Negative,correct
58,1,熟悉,Neutral,pass
59,1,平坦的,Neutral,pass
60,1,只想到自己,Negative,correct
61,1,不講道理,Negative,miss
62,1,吝嗇,Negative,correct
63,1,金屬感,Neutral,pass
64,1,不入流的,Negative,correct
65,1,心胸狹小,Negative,correct
66,1,凌亂的,Negative,miss
67,1,嚴厲,Negative,miss
68,1,連續的,Neutral,pass
69,1,神經質,Negative,correct
70,1,愛責備的,Negative,miss
71,1,傲慢,Negative,miss
72,1,鮮明的,Neutral,pass
73,1,充滿的,Neutral,pass
74,1,佔有慾強,Negative,miss
75,1,典型,Neutral,pass
76,2,粗心,Negative,miss
77,2,情緒化,Negative,correct
78,2,不尊重人,Negative,correct
79,2,指導,Neutral,pass
80,2,懶散的,Negative,correct
81,2,沒效率的,Negative,correct
82,2,水平,Neutral,pass
83,2,喧鬧的,Negative,correct
84,2,聲光,Neutral,pass
85,2,主題,Neutral,pass
86,2,心煩氣躁,Negative,correct
87,2,可預測的,Neutral,pass
88,2,迷信的,Negative,correct
89,2,草率,Negative,correct
90,2,固體的,Neutral,pass
91,2,猶豫不決,Negative,miss
92,2,徒勞無功,Negative,correct
93,2,很傳統,Negative,miss
94,2,正式的,Neutral,pass
95,2,禮數不周,Negative,miss
96,2,消沈,Negative,correct
97,2,多變的,Negative,correct
98,2,沒有目標的,Negative,correct
99,2,失神的,Negative,miss
100,2,自我意識,Negative,correct
101,2,古早的,Neutral,incorrect
102,2,不公平,Negative,correct
103,2,隱私,Neutral,pass
104,2,自我中心,Negative,correct
105,2,涼爽,Neutral,pass
106,2,倔強,Negative,correct
107,2,清脆,Neutral,pass
108,2,廣大的,Neutral,pass
109,2,陰鬱,Negative,correct
110,2,停留,Neutral,pass
111,2,灼熱,Neutral,pass
112,2,憂鬱的,Negative,correct
113,2,硬邦邦的,Neutral,pass
114,2,太過敏感,Negative,miss
115,2,純粹的,Neutral,pass
116,2,怠惰,Negative,miss
117,2,不苟言笑,Negative,miss
118,2,暴躁,Negative,correct
119,2,高度緊張的,Negative,correct
120,2,柔軟,Neutral,pass
121,2,搖擺,Neutral,pass
122,2,不有趣的,Negative,correct
123,2,大嘴巴,Negative,correct
124,2,風化的,Neutral,pass
125,2,向左,Neutral,pass
126,2,急躁,Negative,miss
127,2,疏忽的,Negative,miss
128,2,心情不穩定的,Negative,correct
129,2,冷漠,Negative,correct
130,2,不易被鼓舞,Negative,correct
131,2,輕浮,Negative,correct
132,2,煙霧彌漫,Neutral,pass
133,2,懦弱,Negative,correct
134,2,脆弱,Negative,correct
135,2,自負,Negative,miss
136,2,不爽快的,Negative,correct
137,2,畏首畏尾,Negative,correct
138,2,不可靠,Negative,correct
139,2,宗教的,Neutral,pass
140,2,迅速,Neutral,pass
141,2,嚴肅,Negative,correct
142,2,忐忑,Negative,correct
143,2,不進取,Negative,correct
144,2,鮮艷的,Neutral,pass
145,2,方向感,Neutral,pass
146,2,沈默,Negative,miss
147,2,令人不快的,Negative,correct
148,2,悲傷的,Negative,correct
149,2,恐懼的,Negative,correct
150,2,缺乏智慧,Negative,correct
