Tester: Ash
Test Date: 2016-05-04 10:52
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,生鏽的,Neutral,pass
2,1,俱有控制與的,Negative,miss
3,1,公開,Neutral,pass
4,1,使人不愉快的,Negative,miss
5,1,純粹的,Neutral,pass
6,1,指導,Neutral,pass
7,1,遲鈍,Negative,correct
8,1,化學的,Neutral,incorrect
9,1,高科技,Neutral,pass
10,1,擾人,Negative,miss
11,1,佔有慾強,Negative,miss
12,1,不規律的,Negative,miss
13,1,不爽快的,Negative,correct
14,1,孩子氣,Negative,miss
15,1,固體的,Neutral,pass
16,1,杞人憂天,Negative,miss
17,1,不熱情,Negative,correct
18,1,圓形的,Neutral,pass
19,1,多變的,Negative,miss
20,1,方向感,Neutral,pass
21,1,生氣,Negative,correct
22,1,不上不下的,Negative,correct
23,1,頻繁,Neutral,pass
24,1,充滿水分的,Neutral,pass
25,1,嚴肅,Negative,correct
26,1,硬邦邦的,Neutral,pass
27,1,缺乏想像力,Negative,correct
28,1,幼稚,Negative,correct
29,1,對大部份事情都不擅長,Negative,miss
30,1,古怪的,Negative,miss
31,1,安靜的,Negative,miss
32,1,頑劣,Negative,correct
33,1,囉唆,Negative,miss
34,1,不懂人情世故,Negative,miss
35,1,缺乏智慧,Negative,correct
36,1,冷漠,Negative,correct
37,1,緊繃,Negative,correct
38,1,前傾,Neutral,pass
39,1,悲觀,Negative,correct
40,1,堅固,Neutral,pass
41,1,停留,Neutral,pass
42,1,禮數不周,Negative,correct
43,1,憨厚,Negative,correct
44,1,隱私,Neutral,pass
45,1,優柔寡斷,Negative,miss
46,1,現在的,Neutral,pass
47,1,不切實際,Negative,correct
48,1,明亮,Neutral,pass
49,1,忙碌,Neutral,incorrect
50,1,不敢冒險,Negative,miss
51,1,吵鬧,Negative,miss
52,1,皮製的,Neutral,incorrect
53,1,喧鬧的,Negative,miss
54,1,鮮艷的,Neutral,pass
55,1,守舊,Negative,miss
56,1,魯莽,Negative,miss
57,1,溫吞,Negative,correct
58,1,不和藹,Negative,correct
59,1,徒勞無功,Negative,miss
60,1,視覺上的,Neutral,pass
61,1,適應不良,Negative,miss
62,1,不滿,Negative,correct
63,1,乾燥,Neutral,pass
64,1,多嘴,Negative,correct
65,1,煩人的,Negative,miss
66,1,諷刺的,Negative,miss
67,1,混亂的,Negative,correct
68,1,愛做白日夢,Negative,miss
69,1,柔軟,Neutral,pass
70,1,善變的,Negative,miss
71,1,上漲,Neutral,incorrect
72,1,無理取鬧,Negative,correct
73,1,怕生,Negative,miss
74,1,枯燥乏味,Negative,miss
75,1,消沈,Negative,correct
76,2,猶豫不決,Negative,correct
77,2,恐懼的,Negative,correct
78,2,無趣的,Negative,correct
79,2,壓抑,Negative,correct
80,2,順從,Negative,correct
81,2,水平,Neutral,pass
82,2,奸詐,Negative,miss
83,2,巨大,Neutral,pass
84,2,令人討厭的,Negative,correct
85,2,迅速,Neutral,pass
86,2,不道德,Negative,correct
87,2,平坦的,Neutral,pass
88,2,持續的,Neutral,pass
89,2,缺乏好奇心,Negative,correct
90,2,充滿的,Neutral,pass
91,2,嫉妒的,Negative,miss
92,2,憤世忌俗,Negative,correct
93,2,沮喪,Negative,correct
94,2,偏心,Negative,miss
95,2,懦弱,Negative,miss
96,2,莽撞,Negative,correct
97,2,節奏感,Neutral,pass
98,2,雙面人,Negative,correct
99,2,拙劣,Negative,correct
100,2,不易妥協的,Negative,correct
101,2,愛爭辯,Negative,correct
102,2,廣大的,Neutral,pass
103,2,不準時的,Negative,correct
104,2,退休,Neutral,pass
105,2,改變,Neutral,pass
106,2,溼冷潮溼,Neutral,incorrect
107,2,鮮明的,Neutral,pass
108,2,疑神疑鬼,Negative,correct
109,2,心煩氣躁,Negative,correct
110,2,自大的,Negative,correct
111,2,古早的,Neutral,pass
112,2,不有趣的,Negative,miss
113,2,累贅的,Negative,correct
114,2,自我膨脹,Negative,correct
115,2,不友善,Negative,correct
116,2,疏忽的,Negative,correct
117,2,宗教的,Neutral,pass
118,2,對事物不容易提起興趣,Negative,correct
119,2,搖擺,Neutral,pass
120,2,毛絨絨的,Neutral,pass
121,2,懷有惡意的,Negative,correct
122,2,不擇手段,Negative,correct
123,2,自負,Negative,correct
124,2,容易受外界影響,Negative,correct
125,2,苛求,Negative,correct
126,2,沒心肝的,Negative,correct
127,2,可預測的,Neutral,incorrect
128,2,驚喜,Neutral,pass
129,2,控制一切,Negative,correct
130,2,連續的,Neutral,pass
131,2,攻擊性的,Negative,correct
132,2,煙霧彌漫,Neutral,pass
133,2,無助的,Negative,correct
134,2,極端刻薄,Negative,miss
135,2,挑替,Negative,correct
136,2,鬱卒,Negative,correct
137,2,向左,Neutral,pass
138,2,怠惰,Negative,correct
139,2,漫無目的,Negative,correct
140,2,沒知識的,Negative,correct
141,2,過度謹慎,Negative,correct
142,2,複雜,Neutral,incorrect
143,2,嚴厲,Negative,correct
144,2,沒邏輯的,Negative,correct
145,2,典型,Neutral,incorrect
146,2,風化的,Neutral,pass
147,2,庸庸碌碌,Negative,correct
148,2,忘恩負義,Negative,correct
149,2,涼爽,Neutral,pass
150,2,斤斤計較,Negative,correct
