Tester: Justin
Test Date: 2016-04-01 13:50
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,安靜的,Negative,miss
2,1,古早的,Neutral,pass
3,1,膚淺,Negative,correct
4,1,沒安全感的,Negative,miss
5,1,乾燥,Neutral,pass
6,1,指導,Neutral,pass
7,1,頻繁,Neutral,pass
8,1,堅固,Neutral,pass
9,1,太過柔順,Negative,miss
10,1,沒知識的,Negative,miss
11,1,自我意識,Negative,correct
12,1,大嘴巴,Negative,miss
13,1,狡詐,Negative,miss
14,1,沒心肝的,Negative,miss
15,1,清脆,Neutral,pass
16,1,退休,Neutral,pass
17,1,多嘴多話,Negative,miss
18,1,俱有控制與的,Negative,correct
19,1,拙劣,Negative,miss
20,1,莽撞,Negative,miss
21,1,不知感恩,Negative,miss
22,1,平坦的,Neutral,pass
23,1,幼稚,Negative,miss
24,1,健忘,Negative,miss
25,1,太過敏感,Negative,miss
26,1,邋遢,Negative,miss
27,1,化學的,Neutral,pass
28,1,憨厚,Negative,miss
29,1,很傳統,Negative,miss
30,1,向左,Neutral,pass
31,1,主題,Neutral,pass
32,1,平滑,Neutral,pass
33,1,膽大妄為,Negative,miss
34,1,不進取,Negative,miss
35,1,觀察不入微,Negative,miss
36,1,缺乏智慧,Negative,miss
37,1,畏首畏尾,Negative,miss
38,1,杞人憂天,Negative,miss
39,1,多管閒事,Negative,miss
40,1,風化的,Neutral,pass
41,1,上漲,Neutral,pass
42,1,粗心,Negative,miss
43,1,涼爽,Neutral,incorrect
44,1,沈默,Negative,miss
45,1,不聰明的,Negative,miss
46,1,明亮,Neutral,pass
47,1,沒教養,Negative,miss
48,1,高科技,Neutral,pass
49,1,依賴,Negative,miss
50,1,疑心病,Negative,miss
51,1,皮製的,Neutral,pass
52,1,恍恍惚惚,Negative,correct
53,1,方向感,Neutral,pass
54,1,遲鈍,Negative,miss
55,1,停留,Neutral,pass
56,1,嚴肅,Negative,miss
57,1,容易受騙,Negative,miss
58,1,驚喜,Neutral,pass
59,1,有系統的,Negative,miss
60,1,忿恨不平,Negative,miss
61,1,柔軟,Neutral,pass
62,1,呆,Negative,miss
63,1,愛模仿的,Negative,miss
64,1,失神的,Negative,miss
65,1,服從,Negative,miss
66,1,懶散的,Negative,miss
67,1,卷曲的,Neutral,pass
68,1,沒有創意,Negative,miss
69,1,溼冷潮溼,Neutral,pass
70,1,向右,Neutral,pass
71,1,不和藹,Negative,correct
72,1,喧鬧的,Negative,miss
73,1,控制一切,Negative,miss
74,1,不成熟,Negative,miss
75,1,沒文化的,Negative,miss
76,2,怕生,Negative,correct
77,2,心胸狹小,Negative,correct
78,2,熟悉,Neutral,pass
79,2,視覺上的,Neutral,pass
80,2,公開,Neutral,pass
81,2,充滿的,Neutral,pass
82,2,庸庸碌碌,Negative,miss
83,2,自負,Negative,correct
84,2,不尊重人,Negative,correct
85,2,典型,Neutral,pass
86,2,巨大,Neutral,pass
87,2,心情不穩定的,Negative,correct
88,2,充滿水分的,Neutral,pass
89,2,脆弱,Negative,correct
90,2,懷有惡意的,Negative,correct
91,2,不安,Negative,correct
92,2,挑替,Negative,correct
93,2,疑神疑鬼,Negative,correct
94,2,毛絨絨的,Neutral,pass
95,2,沮喪,Negative,correct
96,2,持續的,Neutral,pass
97,2,不入流的,Negative,correct
98,2,灼熱,Neutral,pass
99,2,囉唆,Negative,correct
100,2,對事物不容易提起興趣,Negative,miss
101,2,專橫,Negative,correct
102,2,隱私,Neutral,pass
103,2,自大的,Negative,correct
104,2,溫吞,Negative,correct
105,2,猶豫不決,Negative,correct
106,2,水平,Neutral,pass
107,2,急躁,Negative,correct
108,2,卑鄙,Negative,correct
109,2,自以為,Negative,correct
110,2,徒勞無功,Negative,correct
111,2,圓形的,Neutral,pass
112,2,自我中心,Negative,miss
113,2,不懂人情世故,Negative,correct
114,2,累贅的,Negative,correct
115,2,純粹的,Neutral,pass
116,2,寂寞,Negative,miss
117,2,不健康,Negative,correct
118,2,苛求,Negative,correct
119,2,複雜,Neutral,pass
120,2,衝動,Negative,correct
121,2,沒禮貌,Negative,correct
122,2,金屬感,Neutral,pass
123,2,小氣,Negative,correct
124,2,新鮮的,Neutral,pass
125,2,虛偽,Negative,miss
126,2,陰鬱,Negative,correct
127,2,不切實際,Negative,correct
128,2,易怒的,Negative,correct
129,2,自私,Negative,correct
130,2,緊繃,Negative,correct
131,2,鮮艷的,Neutral,pass
132,2,煙霧彌漫,Neutral,pass
133,2,魯莽,Negative,miss
134,2,政治,Neutral,pass
135,2,極端刻薄,Negative,correct
136,2,鮮明的,Neutral,pass
137,2,愛抱怨,Negative,correct
138,2,不講道理,Negative,correct
139,2,節奏感,Neutral,pass
140,2,不容易滿足,Negative,correct
141,2,搖擺,Neutral,pass
142,2,心機的,Negative,miss
143,2,怠惰,Negative,correct
144,2,欺騙的,Negative,correct
145,2,惡毒,Negative,correct
146,2,壓抑,Negative,correct
147,2,自我膨脹,Negative,correct
148,2,不準時的,Negative,correct
149,2,聲光,Neutral,pass
150,2,反光的,Neutral,pass
