Tester: Yc
Test Date: 2016-04-15 15:06
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,沒安全感的,Negative,miss
2,1,高科技,Neutral,pass
3,1,典型,Neutral,pass
4,1,明亮,Neutral,pass
5,1,沒效率的,Negative,correct
6,1,不擅交際,Negative,correct
7,1,平滑,Neutral,pass
8,1,急躁,Negative,correct
9,1,恍恍惚惚,Negative,correct
10,1,純粹的,Neutral,pass
11,1,過氣,Negative,correct
12,1,涼爽,Neutral,pass
13,1,畏首畏尾,Negative,correct
14,1,忙碌,Neutral,pass
15,1,嚴厲,Negative,miss
16,1,權威,Negative,miss
17,1,公開,Neutral,pass
18,1,不滿,Negative,correct
19,1,喧鬧的,Negative,correct
20,1,忐忑,Negative,correct
21,1,嚴肅,Negative,correct
22,1,虛假,Negative,miss
23,1,無趣的,Negative,correct
24,1,自得自滿,Negative,miss
25,1,不和藹,Negative,correct
26,1,乾燥,Neutral,pass
27,1,堅固,Neutral,pass
28,1,隱私,Neutral,pass
29,1,脆弱,Negative,correct
30,1,上漲,Neutral,pass
31,1,缺乏經驗,Negative,correct
32,1,憨厚,Negative,correct
33,1,服從,Negative,correct
34,1,愛模仿的,Negative,correct
35,1,無助的,Negative,correct
36,1,滑稽,Negative,miss
37,1,浪費,Negative,correct
38,1,對大部份事情都不擅長,Negative,miss
39,1,迅速,Neutral,pass
40,1,毛絨絨的,Neutral,pass
41,1,緊繃,Negative,correct
42,1,持續的,Neutral,pass
43,1,懷有惡意的,Negative,correct
44,1,清脆,Neutral,pass
45,1,鮮明的,Neutral,pass
46,1,沮喪,Negative,correct
47,1,佔有慾,Negative,miss
48,1,絕情的,Negative,miss
49,1,依賴,Negative,correct
50,1,冰冷,Negative,miss
51,1,頻繁,Neutral,pass
52,1,頑劣,Negative,correct
53,1,向左,Neutral,pass
54,1,不易被鼓舞,Negative,miss
55,1,消極,Negative,miss
56,1,不隨和,Negative,miss
57,1,太過敏感,Negative,correct
58,1,禮數不周,Negative,correct
59,1,不熱情,Negative,correct
60,1,俗氣,Negative,miss
61,1,沈悶,Negative,miss
62,1,無能,Negative,miss
63,1,正式的,Neutral,pass
64,1,缺乏智慧,Negative,correct
65,1,枯燥乏味,Negative,correct
66,1,過分講究,Negative,miss
67,1,混亂的,Negative,miss
68,1,前傾,Neutral,pass
69,1,幼稚,Negative,correct
70,1,生鏽的,Neutral,pass
71,1,指導,Neutral,pass
72,1,沒知識的,Negative,correct
73,1,視覺上的,Neutral,pass
74,1,鬆懈的,Negative,miss
75,1,方向感,Neutral,pass
76,2,不友善,Negative,correct
77,2,柔軟,Neutral,pass
78,2,搖擺,Neutral,incorrect
79,2,無理取鬧,Negative,correct
80,2,不尊重人,Negative,correct
81,2,沒有目標的,Negative,correct
82,2,不敢冒險,Negative,miss
83,2,反光的,Neutral,pass
84,2,容易退縮,Negative,correct
85,2,向右,Neutral,pass
86,2,改變,Neutral,pass
87,2,連續的,Neutral,pass
88,2,愛爭辯,Negative,correct
89,2,敗家,Negative,correct
90,2,斤斤計較,Negative,miss
91,2,奢侈,Negative,correct
92,2,固體的,Neutral,pass
93,2,潑辣,Negative,correct
94,2,沒心肝的,Negative,correct
95,2,鮮艷的,Neutral,pass
96,2,不準時的,Negative,correct
97,2,不整潔,Negative,correct
98,2,惡毒,Negative,miss
99,2,憂鬱的,Negative,correct
100,2,可預測的,Neutral,pass
101,2,極端刻薄,Negative,miss
102,2,杞人憂天,Negative,correct
103,2,煙霧彌漫,Neutral,pass
104,2,不誠懇,Negative,correct
105,2,無聊的,Negative,miss
106,2,愛羞辱人的,Negative,correct
107,2,多疑,Negative,miss
108,2,自我膨脹,Negative,miss
109,2,令人憤怒的,Negative,correct
110,2,風化的,Neutral,pass
111,2,化學的,Neutral,pass
112,2,騙子,Negative,miss
113,2,偏心,Negative,correct
114,2,莽撞,Negative,correct
115,2,現在的,Neutral,pass
116,2,不知感恩,Negative,correct
117,2,宗教的,Neutral,pass
118,2,懦弱,Negative,correct
119,2,虛偽,Negative,correct
120,2,不入流的,Negative,correct
121,2,情緒化,Negative,correct
122,2,充滿水分的,Neutral,pass
123,2,暴躁,Negative,correct
124,2,不樂於助人,Negative,correct
125,2,鬱卒,Negative,correct
126,2,新鮮的,Neutral,pass
127,2,灼熱,Neutral,pass
128,2,不信任他人,Negative,correct
129,2,諷刺的,Negative,correct
130,2,複雜,Neutral,pass
131,2,猶豫不決,Negative,correct
132,2,不講道理,Negative,correct
133,2,實驗性,Neutral,pass
134,2,不鎮靜的,Negative,correct
135,2,任性,Negative,correct
136,2,皮製的,Neutral,pass
137,2,廣大的,Neutral,pass
138,2,高度緊張的,Negative,correct
139,2,愛爭辯,Negative,correct
140,2,過度自信,Negative,correct
141,2,不懂人情世故,Negative,correct
142,2,熟悉,Neutral,pass
143,2,溼冷潮溼,Neutral,pass
144,2,主題,Neutral,pass
145,2,不進取,Negative,correct
146,2,圓形的,Neutral,pass
147,2,見不得人好,Negative,correct
148,2,難以捉摸,Negative,correct
149,2,心情不穩定的,Negative,correct
150,2,誇張的,Negative,correct
