Tester: lincon
Test Date: 2016-07-15 20:42
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,諷刺的,Negative,miss
2,1,不道德,Negative,correct
3,1,多管閒事,Negative,correct
4,1,疑神疑鬼,Negative,miss
5,1,柔軟,Neutral,pass
6,1,缺乏智慧,Negative,miss
7,1,毛絨絨的,Neutral,pass
8,1,沒心肝的,Negative,miss
9,1,幼稚,Negative,correct
10,1,鮮明的,Neutral,pass
11,1,奸詐,Negative,correct
12,1,敗家,Negative,correct
13,1,宗教的,Neutral,pass
14,1,充滿的,Neutral,pass
15,1,前傾,Neutral,pass
16,1,固體的,Neutral,pass
17,1,不近人情,Negative,correct
18,1,愛羞辱人的,Negative,correct
19,1,粗鄙,Negative,correct
20,1,多疑,Negative,correct
21,1,主題,Neutral,pass
22,1,上漲,Neutral,pass
23,1,容易感到厭惡,Negative,correct
24,1,沒效率的,Negative,correct
25,1,墨守成規,Negative,correct
26,1,絕情的,Negative,correct
27,1,神經質,Negative,correct
28,1,可預測的,Neutral,pass
29,1,混亂的,Negative,correct
30,1,觀察不入微,Negative,correct
31,1,不敢冒險,Negative,correct
32,1,卷曲的,Neutral,pass
33,1,頑劣,Negative,correct
34,1,明亮,Neutral,pass
35,1,新鮮的,Neutral,pass
36,1,魯莽,Negative,correct
37,1,不信任他人,Negative,correct
38,1,鬆懈的,Negative,correct
39,1,嚴肅,Negative,correct
40,1,佔有慾,Negative,correct
41,1,皮製的,Neutral,pass
42,1,過分講究,Negative,correct
43,1,卑鄙,Negative,correct
44,1,沒禮貌,Negative,correct
45,1,不講道理,Negative,correct
46,1,金屬感,Neutral,pass
47,1,粗暴,Negative,correct
48,1,令人憤怒的,Negative,correct
49,1,鮮艷的,Neutral,pass
50,1,持續的,Neutral,pass
51,1,消極,Negative,correct
52,1,沒幽默感,Negative,correct
53,1,不安,Negative,correct
54,1,令人討厭的,Negative,correct
55,1,節奏感,Neutral,pass
56,1,煙霧彌漫,Neutral,incorrect
57,1,高科技,Neutral,pass
58,1,權威,Negative,correct
59,1,缺乏經驗,Negative,correct
60,1,累贅的,Negative,correct
61,1,禮數不周,Negative,correct
62,1,改變,Neutral,pass
63,1,指導,Neutral,pass
64,1,異常擔心的,Negative,correct
65,1,滑稽,Negative,correct
66,1,叛逆,Negative,correct
67,1,殘忍,Negative,correct
68,1,膚淺,Negative,correct
69,1,生鏽的,Neutral,incorrect
70,1,惡毒,Negative,correct
71,1,膽小,Negative,correct
72,1,杞人憂天,Negative,correct
73,1,隱私,Neutral,pass
74,1,停留,Neutral,pass
75,1,攻擊性的,Negative,correct
76,2,沒水準的,Negative,correct
77,2,自私,Negative,correct
78,2,化學的,Neutral,pass
79,2,堅固,Neutral,pass
80,2,退休,Neutral,pass
81,2,水平,Neutral,pass
82,2,向左,Neutral,pass
83,2,古早的,Neutral,pass
84,2,薄情,Negative,correct
85,2,難相處的,Negative,correct
86,2,鬱鬱寡歡,Negative,correct
87,2,物理的,Neutral,pass
88,2,忙碌,Neutral,pass
89,2,尖酸,Negative,correct
90,2,搖擺,Neutral,pass
91,2,充滿水分的,Neutral,pass
92,2,傲慢,Negative,miss
93,2,不好學,Negative,correct
94,2,缺乏感情,Negative,correct
95,2,懶散的,Negative,correct
96,2,拙劣,Negative,correct
97,2,複雜,Neutral,incorrect
98,2,易怒的,Negative,miss
99,2,熟悉,Neutral,pass
100,2,悲傷的,Negative,miss
101,2,不聰明的,Negative,correct
102,2,不上不下的,Negative,correct
103,2,平庸,Negative,correct
104,2,疑心病,Negative,correct
105,2,恍恍惚惚,Negative,correct
106,2,方向感,Neutral,pass
107,2,跋扈,Negative,correct
108,2,愛吹牛,Negative,correct
109,2,廣大的,Neutral,pass
110,2,頑固,Negative,correct
111,2,不尊重人,Negative,correct
112,2,不鎮靜的,Negative,correct
113,2,連續的,Neutral,pass
114,2,無趣的,Negative,correct
115,2,愛爭辯,Negative,miss
116,2,公開,Neutral,pass
117,2,誇張的,Negative,correct
118,2,純粹的,Neutral,pass
119,2,圓形的,Neutral,pass
120,2,莽撞,Negative,correct
121,2,凌亂的,Negative,correct
122,2,迅速,Neutral,pass
123,2,緊張,Negative,correct
124,2,溼冷潮溼,Neutral,incorrect
125,2,視覺上的,Neutral,pass
126,2,陰鬱,Negative,correct
127,2,反光的,Neutral,pass
128,2,灼熱,Neutral,incorrect
129,2,對事物不容易提起興趣,Negative,correct
130,2,喜愛批評,Negative,correct
131,2,服從,Negative,correct
132,2,欺騙的,Negative,correct
133,2,雙面人,Negative,correct
134,2,不有趣的,Negative,correct
135,2,憤世忌俗,Negative,correct
136,2,沒教養,Negative,correct
137,2,自我中心,Negative,correct
138,2,沈悶,Negative,correct
139,2,不樂於助人,Negative,correct
140,2,正式的,Neutral,pass
141,2,不知感恩,Negative,correct
142,2,笨拙,Negative,correct
143,2,不進取,Negative,correct
144,2,徒勞無功,Negative,correct
145,2,太過敏感,Negative,correct
146,2,壓抑,Negative,miss
147,2,猶豫不決,Negative,correct
148,2,清脆,Neutral,incorrect
149,2,靠不住,Negative,correct
150,2,無理取鬧,Negative,correct
