Tester: Yei
Test Date: 2016-05-25 11:57
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,無法寬恕,Negative,correct
2,1,忿恨不平,Negative,correct
3,1,廣大的,Neutral,pass
4,1,不知感恩,Negative,correct
5,1,刻薄,Negative,correct
6,1,狡詐,Negative,correct
7,1,無情無義,Negative,correct
8,1,容易退縮,Negative,correct
9,1,不擇手段,Negative,miss
10,1,物理的,Neutral,pass
11,1,靠不住,Negative,correct
12,1,指導,Neutral,pass
13,1,缺乏智慧,Negative,correct
14,1,不尊重人,Negative,correct
15,1,方向感,Neutral,pass
16,1,倔強,Negative,miss
17,1,實驗性,Neutral,incorrect
18,1,叛逆,Negative,correct
19,1,化學的,Neutral,pass
20,1,不近人情,Negative,miss
21,1,遲鈍,Negative,correct
22,1,生鏽的,Neutral,pass
23,1,不懂人情世故,Negative,correct
24,1,不易被鼓舞,Negative,correct
25,1,俗氣,Negative,correct
26,1,固體的,Neutral,pass
27,1,煙霧彌漫,Neutral,pass
28,1,灼熱,Neutral,pass
29,1,隱私,Neutral,pass
30,1,政治,Neutral,incorrect
31,1,不光明正大,Negative,correct
32,1,驚喜,Neutral,pass
33,1,殘暴,Negative,miss
34,1,潑辣,Negative,correct
35,1,向左,Neutral,pass
36,1,視覺上的,Neutral,pass
37,1,沒禮貌,Negative,correct
38,1,懦弱,Negative,correct
39,1,傲慢,Negative,correct
40,1,見不得人好,Negative,correct
41,1,自大的,Negative,correct
42,1,公開,Neutral,pass
43,1,諷刺的,Negative,correct
44,1,忘恩負義,Negative,correct
45,1,嚴肅,Negative,correct
46,1,愛模仿的,Negative,correct
47,1,極端刻薄,Negative,correct
48,1,現在的,Neutral,pass
49,1,不誠懇,Negative,correct
50,1,無理取鬧,Negative,correct
51,1,憨厚,Negative,correct
52,1,無能,Negative,miss
53,1,騙子,Negative,correct
54,1,不樂於助人,Negative,correct
55,1,絕情的,Negative,correct
56,1,放蕩不羈,Negative,correct
57,1,典型,Neutral,pass
58,1,頻繁,Neutral,pass
59,1,不講道理,Negative,correct
60,1,邋遢,Negative,correct
61,1,連續的,Neutral,pass
62,1,怠惰,Negative,miss
63,1,畏首畏尾,Negative,correct
64,1,停留,Neutral,pass
65,1,不切實際,Negative,correct
66,1,持續的,Neutral,pass
67,1,乾燥,Neutral,incorrect
68,1,惡毒,Negative,correct
69,1,要死不活,Negative,correct
70,1,尖酸,Negative,correct
71,1,平坦的,Neutral,pass
72,1,不入流的,Negative,correct
73,1,不聰明的,Negative,correct
74,1,勢利眼,Negative,correct
75,1,宗教的,Neutral,pass
76,2,過度謹慎,Negative,correct
77,2,易怒的,Negative,correct
78,2,放不開,Negative,correct
79,2,無聊的,Negative,correct
80,2,孩子氣,Negative,correct
81,2,容易感到厭惡,Negative,correct
82,2,急躁,Negative,correct
83,2,多變的,Negative,correct
84,2,衝動,Negative,correct
85,2,純粹的,Neutral,pass
86,2,不信任他人,Negative,correct
87,2,有勇無謀,Negative,correct
88,2,健忘,Negative,correct
89,2,壓抑,Negative,correct
90,2,熟悉,Neutral,pass
91,2,沒自信,Negative,correct
92,2,前傾,Neutral,pass
93,2,疏忽的,Negative,correct
94,2,吹毛求疵,Negative,correct
95,2,苛求,Negative,correct
96,2,不浪漫,Negative,miss
97,2,水平,Neutral,pass
98,2,充滿的,Neutral,pass
99,2,擾人,Negative,correct
100,2,反光的,Neutral,pass
101,2,依賴,Negative,correct
102,2,平滑,Neutral,incorrect
103,2,偏心,Negative,correct
104,2,堅固,Neutral,pass
105,2,柔軟,Neutral,pass
106,2,生氣,Negative,correct
107,2,聲光,Neutral,pass
108,2,滑稽,Negative,correct
109,2,主題,Neutral,pass
110,2,嚴厲,Negative,correct
111,2,硬邦邦的,Neutral,pass
112,2,控制一切,Negative,correct
113,2,情緒化,Negative,correct
114,2,緊繃,Negative,correct
115,2,消極,Negative,miss
116,2,悲觀,Negative,correct
117,2,清脆,Neutral,pass
118,2,粗心,Negative,correct
119,2,上漲,Neutral,pass
120,2,佔有慾,Negative,correct
121,2,令人不快的,Negative,correct
122,2,沈默,Negative,correct
123,2,煩人的,Negative,correct
124,2,新鮮的,Neutral,pass
125,2,鮮艷的,Neutral,pass
126,2,明亮,Neutral,pass
127,2,皮製的,Neutral,pass
128,2,自以為,Negative,correct
129,2,囉唆,Negative,correct
130,2,沮喪,Negative,correct
131,2,圓形的,Neutral,pass
132,2,多嘴,Negative,correct
133,2,改變,Neutral,pass
134,2,不爽快的,Negative,correct
135,2,鬱卒,Negative,correct
136,2,忐忑,Negative,correct
137,2,愛做白日夢,Negative,correct
138,2,不鎮靜的,Negative,correct
139,2,不平靜的,Negative,correct
140,2,迅速,Neutral,pass
141,2,毛絨絨的,Neutral,pass
142,2,不成熟,Negative,correct
143,2,頑固,Negative,correct
144,2,脆弱,Negative,correct
145,2,正式的,Neutral,pass
146,2,古早的,Neutral,pass
147,2,急性子,Negative,correct
148,2,幼稚,Negative,correct
149,2,不易妥協的,Negative,correct
150,2,複雜,Neutral,pass
