Tester: Paul
Test Date: 2016-03-23 11:59
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,吵鬧,Negative,correct
2,1,沒水準的,Negative,correct
3,1,沒安全感的,Negative,correct
4,1,改變,Neutral,pass
5,1,鮮明的,Neutral,pass
6,1,硬邦邦的,Neutral,incorrect
7,1,見不得人好,Negative,correct
8,1,怕生,Negative,correct
9,1,冰冷,Negative,correct
10,1,憤世忌俗,Negative,correct
11,1,沒自信,Negative,correct
12,1,反光的,Neutral,pass
13,1,適應不良,Negative,correct
14,1,宗教的,Neutral,pass
15,1,沈悶,Negative,correct
16,1,諷刺的,Negative,correct
17,1,嚴肅,Negative,correct
18,1,純粹的,Neutral,pass
19,1,生氣,Negative,correct
20,1,沒教養,Negative,correct
21,1,愛爭辯,Negative,correct
22,1,平滑,Neutral,pass
23,1,不光明正大,Negative,correct
24,1,明亮,Neutral,pass
25,1,倔強,Negative,correct
26,1,嘲諷的,Negative,correct
27,1,不健康,Negative,correct
28,1,不苟言笑,Negative,correct
29,1,絕情的,Negative,correct
30,1,遲鈍,Negative,correct
31,1,溼冷潮溼,Neutral,pass
32,1,不規律的,Negative,miss
33,1,尖酸,Negative,correct
34,1,連續的,Neutral,pass
35,1,平庸,Negative,correct
36,1,現在的,Neutral,pass
37,1,膽大妄為,Negative,miss
38,1,容易退縮,Negative,miss
39,1,生鏽的,Neutral,pass
40,1,徒勞無功,Negative,correct
41,1,溫吞,Negative,correct
42,1,鬱鬱寡歡,Negative,correct
43,1,凌亂的,Negative,correct
44,1,偏心,Negative,miss
45,1,方向感,Neutral,pass
46,1,新鮮的,Neutral,pass
47,1,畏首畏尾,Negative,correct
48,1,退休,Neutral,pass
49,1,頑固,Negative,correct
50,1,恐懼的,Negative,correct
51,1,面目可憎,Negative,correct
52,1,正式的,Neutral,pass
53,1,頑劣,Negative,correct
54,1,冷漠,Negative,correct
55,1,沒有創意,Negative,correct
56,1,缺乏經驗,Negative,correct
57,1,毛絨絨的,Neutral,pass
58,1,膽小,Negative,correct
59,1,柔軟,Neutral,pass
60,1,任性,Negative,correct
61,1,向左,Neutral,pass
62,1,擾人,Negative,correct
63,1,幼稚,Negative,correct
64,1,服從,Negative,correct
65,1,不平靜的,Negative,correct
66,1,頻繁,Neutral,pass
67,1,巨大,Neutral,pass
68,1,過氣,Negative,correct
69,1,皮製的,Neutral,pass
70,1,依賴,Negative,correct
71,1,廣大的,Neutral,pass
72,1,指導,Neutral,pass
73,1,懶散的,Negative,correct
74,1,對事物不容易提起興趣,Negative,correct
75,1,實驗性,Neutral,pass
76,2,漫無目的,Negative,correct
77,2,過度謹慎,Negative,correct
78,2,小氣,Negative,correct
79,2,只想到自己,Negative,correct
80,2,聲光,Neutral,pass
81,2,充滿的,Neutral,pass
82,2,不熱情,Negative,correct
83,2,不知感恩,Negative,correct
84,2,節奏感,Neutral,pass
85,2,愛羞辱人的,Negative,correct
86,2,充滿水分的,Neutral,pass
87,2,消極,Negative,correct
88,2,悲觀,Negative,correct
89,2,猶豫不決,Negative,correct
90,2,風化的,Neutral,pass
91,2,貪婪,Negative,correct
92,2,可預測的,Neutral,pass
93,2,高科技,Neutral,pass
94,2,古早的,Neutral,pass
95,2,政治,Neutral,pass
96,2,不準時的,Negative,correct
97,2,無情無義,Negative,correct
98,2,自私,Negative,correct
99,2,固體的,Neutral,pass
100,2,不容易滿足,Negative,correct
101,2,囉唆,Negative,correct
102,2,愛吹牛,Negative,correct
103,2,衝動,Negative,correct
104,2,誇張的,Negative,correct
105,2,圓形的,Neutral,pass
106,2,奢侈,Negative,correct
107,2,不友善,Negative,correct
108,2,無精打采的,Negative,correct
109,2,驚喜,Neutral,pass
110,2,複雜,Neutral,pass
111,2,缺乏好奇心,Negative,correct
112,2,上漲,Neutral,pass
113,2,薄情,Negative,correct
114,2,急躁,Negative,correct
115,2,隱私,Neutral,pass
116,2,敗家,Negative,correct
117,2,心胸狹小,Negative,correct
118,2,疑心病,Negative,correct
119,2,禮數不周,Negative,correct
120,2,鮮艷的,Neutral,pass
121,2,無理取鬧,Negative,correct
122,2,笨拙,Negative,correct
123,2,自大的,Negative,correct
124,2,輕率,Negative,correct
125,2,不誠懇,Negative,correct
126,2,愛爭辯,Negative,correct
127,2,搖擺,Neutral,pass
128,2,典型,Neutral,pass
129,2,卷曲的,Neutral,pass
130,2,涼爽,Neutral,pass
131,2,不負責任,Negative,correct
132,2,奸詐,Negative,correct
133,2,清脆,Neutral,pass
134,2,熟悉,Neutral,pass
135,2,多嘴多話,Negative,correct
136,2,不樂於助人,Negative,correct
137,2,忙碌,Neutral,pass
138,2,雙面人,Negative,correct
139,2,難相處的,Negative,correct
140,2,跋扈,Negative,correct
141,2,控制一切,Negative,correct
142,2,令人不快的,Negative,correct
143,2,無法寬恕,Negative,correct
144,2,不社會化,Negative,correct
145,2,公開,Neutral,pass
146,2,觀察不入微,Negative,correct
147,2,輕浮,Negative,correct
148,2,缺乏感情,Negative,correct
149,2,杞人憂天,Negative,correct
150,2,前傾,Neutral,pass
