Tester: ppt234
Test Date: 2016-01-18 09:51
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,頻繁,Neutral,pass
2,1,狡詐,Negative,correct
3,1,魯莽,Negative,correct
4,1,尖酸,Negative,correct
5,1,優柔寡斷,Negative,correct
6,1,卷曲的,Neutral,pass
7,1,不懂人情世故,Negative,correct
8,1,沒效率的,Negative,correct
9,1,令人憤怒的,Negative,miss
10,1,怕生,Negative,correct
11,1,連續的,Neutral,pass
12,1,苛求,Negative,correct
13,1,硬邦邦的,Neutral,pass
14,1,向右,Neutral,pass
15,1,不誠懇,Negative,miss
16,1,鬆懈的,Negative,miss
17,1,充滿的,Neutral,pass
18,1,難相處的,Negative,correct
19,1,涼爽,Neutral,pass
20,1,反光的,Neutral,pass
21,1,灼熱,Neutral,pass
22,1,面目可憎,Negative,correct
23,1,溼冷潮溼,Neutral,pass
24,1,多變的,Negative,correct
25,1,不和藹,Negative,correct
26,1,令人不快的,Negative,correct
27,1,自私,Negative,correct
28,1,水平,Neutral,pass
29,1,傲慢,Negative,correct
30,1,不友善,Negative,correct
31,1,對事物不容易提起興趣,Negative,miss
32,1,諷刺的,Negative,correct
33,1,叛逆,Negative,miss
34,1,見不得人好,Negative,correct
35,1,消沈,Negative,correct
36,1,過度謹慎,Negative,correct
37,1,不道德,Negative,correct
38,1,沒有創意,Negative,correct
39,1,欺騙的,Negative,correct
40,1,控制一切,Negative,correct
41,1,平滑,Neutral,pass
42,1,絕情的,Negative,correct
43,1,擾人,Negative,miss
44,1,無禮,Negative,correct
45,1,不易妥協的,Negative,correct
46,1,固體的,Neutral,pass
47,1,巨大,Neutral,pass
48,1,輕浮,Negative,correct
49,1,主題,Neutral,pass
50,1,衰,Negative,correct
51,1,新鮮的,Neutral,pass
52,1,凌亂的,Negative,correct
53,1,搖擺,Neutral,pass
54,1,典型,Neutral,pass
55,1,堅固,Neutral,pass
56,1,皮製的,Neutral,pass
57,1,愛責備的,Negative,correct
58,1,自以為是,Negative,correct
59,1,不誠實,Negative,correct
60,1,憤世忌俗,Negative,miss
61,1,笨拙,Negative,correct
62,1,政治,Neutral,pass
63,1,隱私,Neutral,pass
64,1,指導,Neutral,pass
65,1,任性,Negative,correct
66,1,古怪的,Negative,correct
67,1,呆,Negative,correct
68,1,疏忽的,Negative,miss
69,1,冷漠,Negative,correct
70,1,忿恨不平,Negative,correct
71,1,停留,Neutral,pass
72,1,驕傲,Negative,correct
73,1,無情無義,Negative,correct
74,1,聲光,Neutral,pass
75,1,心情不穩定的,Negative,correct
76,2,守舊,Negative,correct
77,2,不好學,Negative,miss
78,2,明亮,Neutral,incorrect
79,2,沒安全感的,Negative,correct
80,2,不切實際,Negative,miss
81,2,殘忍,Negative,miss
82,2,滑稽,Negative,miss
83,2,生鏽的,Neutral,pass
84,2,觀察不入微,Negative,miss
85,2,多嘴多話,Negative,miss
86,2,乾燥,Neutral,pass
87,2,金屬感,Neutral,pass
88,2,不光明正大,Negative,miss
89,2,有勇無謀,Negative,miss
90,2,有系統的,Negative,miss
91,2,柔軟,Neutral,pass
92,2,攻擊性的,Negative,miss
93,2,持續的,Neutral,pass
94,2,忙碌,Neutral,pass
95,2,前傾,Neutral,pass
96,2,化學的,Neutral,pass
97,2,放蕩不羈,Negative,correct
98,2,上漲,Neutral,pass
99,2,強硬,Negative,correct
100,2,平坦的,Neutral,pass
101,2,墨守成規,Negative,correct
102,2,情緒化,Negative,correct
103,2,物理的,Neutral,pass
104,2,鬱卒,Negative,correct
105,2,吝嗇,Negative,correct
106,2,愛做白日夢,Negative,correct
107,2,沒邏輯的,Negative,miss
108,2,混亂的,Negative,correct
109,2,不爽快的,Negative,correct
110,2,心胸狹小,Negative,correct
111,2,壓抑,Negative,correct
112,2,現在的,Neutral,pass
113,2,純粹的,Neutral,pass
114,2,不苟言笑,Negative,correct
115,2,怠惰,Negative,correct
116,2,自我中心,Negative,correct
117,2,沒心肝的,Negative,correct
118,2,善變的,Negative,correct
119,2,退休,Neutral,pass
120,2,充滿水分的,Neutral,pass
121,2,杞人憂天,Negative,correct
122,2,易怒的,Negative,correct
123,2,沈悶,Negative,correct
124,2,不上不下的,Negative,correct
125,2,迷信的,Negative,correct
126,2,視覺上的,Neutral,pass
127,2,正式的,Neutral,pass
128,2,莽撞,Negative,correct
129,2,憨厚,Negative,correct
130,2,平庸,Negative,correct
131,2,複雜,Neutral,pass
132,2,自我膨脹,Negative,miss
133,2,倔強,Negative,correct
134,2,膽小,Negative,correct
135,2,煙霧彌漫,Neutral,pass
136,2,依賴,Negative,correct
137,2,風化的,Neutral,pass
138,2,冒犯的,Negative,correct
139,2,自大的,Negative,correct
140,2,不容易滿足,Negative,correct
141,2,喜愛批評,Negative,correct
142,2,無精打采的,Negative,correct
143,2,懷有惡意的,Negative,correct
144,2,迅速,Neutral,pass
145,2,鮮明的,Neutral,pass
146,2,向左,Neutral,pass
147,2,沒文化的,Negative,correct
148,2,廣大的,Neutral,pass
149,2,喧鬧的,Negative,correct
150,2,不準時的,Negative,correct
