Tester: June
Test Date: 2016-04-12 11:57
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,搖擺,Neutral,pass
2,1,化學的,Neutral,pass
3,1,滑頭,Negative,correct
4,1,可預測的,Neutral,pass
5,1,退休,Neutral,pass
6,1,忿恨不平,Negative,correct
7,1,清脆,Neutral,pass
8,1,平庸,Negative,correct
9,1,緊繃,Negative,correct
10,1,充滿水分的,Neutral,pass
11,1,苛求,Negative,correct
12,1,沒有目標的,Negative,miss
13,1,傲慢,Negative,miss
14,1,平坦的,Neutral,pass
15,1,憨厚,Negative,miss
16,1,不整潔,Negative,correct
17,1,愛模仿的,Negative,correct
18,1,古早的,Neutral,pass
19,1,害羞,Negative,miss
20,1,嚴肅,Negative,correct
21,1,金屬感,Neutral,pass
22,1,失神的,Negative,correct
23,1,懶散的,Negative,miss
24,1,順從,Negative,miss
25,1,無趣的,Negative,miss
26,1,無助的,Negative,miss
27,1,溼冷潮溼,Neutral,pass
28,1,徒勞無功,Negative,miss
29,1,頻繁,Neutral,pass
30,1,叛逆,Negative,correct
31,1,壓抑,Negative,miss
32,1,無法適應環境,Negative,miss
33,1,鮮明的,Neutral,pass
34,1,呆,Negative,correct
35,1,古怪的,Negative,miss
36,1,不滿,Negative,miss
37,1,毛絨絨的,Neutral,pass
38,1,向右,Neutral,pass
39,1,不容易滿足,Negative,correct
40,1,皮製的,Neutral,pass
41,1,不浪漫,Negative,miss
42,1,冷漠,Negative,miss
43,1,沈默,Negative,miss
44,1,孤單,Negative,miss
45,1,不健康,Negative,miss
46,1,方向感,Neutral,pass
47,1,吝嗇,Negative,correct
48,1,輕率,Negative,correct
49,1,不擅交際,Negative,miss
50,1,太過柔順,Negative,miss
51,1,怕生,Negative,miss
52,1,節奏感,Neutral,pass
53,1,水平,Neutral,pass
54,1,庸庸碌碌,Negative,correct
55,1,愛做白日夢,Negative,miss
56,1,無吸引力的,Negative,miss
57,1,典型,Neutral,pass
58,1,不樂於助人,Negative,correct
59,1,笨拙,Negative,miss
60,1,脆弱,Negative,miss
61,1,跋扈,Negative,miss
62,1,愛作秀,Negative,miss
63,1,不入流的,Negative,correct
64,1,複雜,Neutral,pass
65,1,迷信的,Negative,correct
66,1,無法寬恕,Negative,miss
67,1,巨大,Neutral,pass
68,1,堅固,Neutral,pass
69,1,新鮮的,Neutral,pass
70,1,多嘴,Negative,miss
71,1,政治,Neutral,pass
72,1,使人不愉快的,Negative,miss
73,1,專橫,Negative,correct
74,1,柔軟,Neutral,pass
75,1,冰冷,Negative,miss
76,2,太過敏感,Negative,correct
77,2,不成熟,Negative,correct
78,2,沮喪,Negative,correct
79,2,自大的,Negative,correct
80,2,反光的,Neutral,pass
81,2,沒邏輯的,Negative,correct
82,2,物理的,Neutral,pass
83,2,沒效率的,Negative,correct
84,2,不誠實,Negative,correct
85,2,虛偽,Negative,correct
86,2,愛責備的,Negative,correct
87,2,冒犯的,Negative,correct
88,2,熟悉,Neutral,pass
89,2,充滿的,Neutral,pass
90,2,圓形的,Neutral,pass
91,2,前傾,Neutral,pass
92,2,上漲,Neutral,pass
93,2,純粹的,Neutral,pass
94,2,公開,Neutral,pass
95,2,鬱卒,Negative,correct
96,2,改變,Neutral,pass
97,2,粗暴,Negative,correct
98,2,易怒的,Negative,correct
99,2,生鏽的,Neutral,pass
100,2,沒知識的,Negative,correct
101,2,薄情,Negative,correct
102,2,心情不穩定的,Negative,correct
103,2,愛爭辯,Negative,miss
104,2,疑神疑鬼,Negative,correct
105,2,孩子氣,Negative,correct
106,2,不名譽的,Negative,miss
107,2,懦弱,Negative,correct
108,2,吹毛求疵,Negative,correct
109,2,不爽快的,Negative,correct
110,2,高度緊張的,Negative,correct
111,2,不切實際,Negative,correct
112,2,連續的,Neutral,pass
113,2,心煩氣躁,Negative,correct
114,2,心機的,Negative,correct
115,2,憤世忌俗,Negative,correct
116,2,忙碌,Neutral,pass
117,2,健忘,Negative,correct
118,2,主題,Neutral,pass
119,2,無情無義,Negative,correct
120,2,反社會的,Negative,correct
121,2,生氣,Negative,correct
122,2,現在的,Neutral,pass
123,2,迅速,Neutral,pass
124,2,向左,Neutral,pass
125,2,隱私,Neutral,pass
126,2,過度自信,Negative,correct
127,2,只想到自己,Negative,correct
128,2,沒心肝的,Negative,correct
129,2,騙子,Negative,correct
130,2,悲觀,Negative,correct
131,2,灼熱,Neutral,pass
132,2,煩人的,Negative,correct
133,2,持續的,Neutral,pass
134,2,容易受外界影響,Negative,correct
135,2,欺騙的,Negative,correct
136,2,不好學,Negative,correct
137,2,愛爭辯,Negative,correct
138,2,草率,Negative,correct
139,2,倔強,Negative,correct
140,2,停留,Neutral,pass
141,2,任性,Negative,correct
142,2,狡詐,Negative,correct
143,2,容易感到厭惡,Negative,correct
144,2,涼爽,Neutral,pass
145,2,莽撞,Negative,correct
146,2,風化的,Neutral,pass
147,2,卷曲的,Neutral,pass
148,2,沒水準的,Negative,correct
149,2,平滑,Neutral,pass
150,2,不負責任,Negative,correct
